"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2015 15:30 - 03/01/2015 15:45","BZN|NL","15524.08","12758.43"
"03/01/2015 15:45 - 03/01/2015 16:00","BZN|NL","15637.50","12821.70"
"03/01/2015 16:00 - 03/01/2015 16:15","BZN|NL","15617.16","12909.75"
"03/01/2015 16:15 - 03/01/2015 16:30","BZN|NL","15563.35","13111.38"
"03/01/2015 16:30 - 03/01/2015 16:45","BZN|NL","15751.21","13453.87"
"03/01/2015 16:45 - 03/01/2015 17:00","BZN|NL","15981.66","13929.72"
"03/01/2015 17:00 - 03/01/2015 17:15","BZN|NL","16124.10","14079.29"
"03/01/2015 17:15 - 03/01/2015 17:30","BZN|NL","16059.95","14195.49"
"03/01/2015 17:30 - 03/01/2015 17:45","BZN|NL","16148.43","14282.45"
"03/01/2015 17:45 - 03/01/2015 18:00","BZN|NL","16174.97","14282.18"
"03/01/2015 18:00 - 03/01/2015 18:15","BZN|NL","16038.45","14109.76"
"03/01/2015 18:15 - 03/01/2015 18:30","BZN|NL","15765.28","13969.67"
"03/01/2015 18:30 - 03/01/2015 18:45","BZN|NL","15514.38","13822.92"
"03/01/2015 18:45 - 03/01/2015 19:00","BZN|NL","15335.79","13709.86"
"03/01/2015 19:00 - 03/01/2015 19:15","BZN|NL","15246.84","13576.32"
"03/01/2015 19:15 - 03/01/2015 19:30","BZN|NL","14945.50","13438.99"
"03/01/2015 19:30 - 03/01/2015 19:45","BZN|NL","14598.23","13284.84"
"03/01/2015 19:45 - 03/01/2015 20:00","BZN|NL","14410.65","13166.71"
"03/01/2015 20:00 - 03/01/2015 20:15","BZN|NL","14343.41","12974.80"
"03/01/2015 20:15 - 03/01/2015 20:30","BZN|NL","14165.09","12819.37"
"03/01/2015 20:30 - 03/01/2015 20:45","BZN|NL","13818.27","12562.84"
"03/01/2015 20:45 - 03/01/2015 21:00","BZN|NL","13507.79","12352.11"
"03/01/2015 21:00 - 03/01/2015 21:15","BZN|NL","13491.90","12131.38"
"03/01/2015 21:15 - 03/01/2015 21:30","BZN|NL","13530.40","11943.80"
"03/01/2015 21:30 - 03/01/2015 21:45","BZN|NL","13182.05","11756.91"
"03/01/2015 21:45 - 03/01/2015 22:00","BZN|NL","12827.60","11596.52"
"03/01/2015 22:00 - 03/01/2015 22:15","BZN|NL","12785.10","11438.74"
"03/01/2015 22:15 - 03/01/2015 22:30","BZN|NL","12566.71","11289.97"
"03/01/2015 22:30 - 03/01/2015 22:45","BZN|NL","12279.09","11096.45"
"03/01/2015 22:45 - 03/01/2015 23:00","BZN|NL","12089.21","10898.49"
"03/01/2015 23:00 - 03/01/2015 23:15","BZN|NL","11908.80","10648.25"
